Description,total_sales,total_revenue
CREAM DELPHINIUM ARTIFICIAL FLOWER,215,387.53
CREAM FELT EASTER EGG BASKET,2148,3436.2
CREAM HANGING HEART T-LIGHT HOLDER,57,155.35
CREAM HEART CARD HOLDER,15946,47414.2
CREAM KNITTED HEN,288,365.76
CREAM SLICE FLANNEL CHOCOLATE SPOT ,698,1982.3
CREAM SLICE FLANNEL PINK SPOT ,2157,5873.55
CREAM SWEETHEART DOUBLE SHELF,3,50.85
CREAM SWEETHEART EGG HOLDER,1093,5177.95
CREAM SWEETHEART LETTER RACK,1538,6897.62
CREAM SWEETHEART MAGAZINE RACK,275,4455.25
CREAM SWEETHEART MINI CHEST,2948,35264.73
CREAM SWEETHEART SHELF + HOOKS,922,6097.56
CREAM SWEETHEART TRAYS,582,6734.5
CREAM SWEETHEART WALL CABINET,472,7417.26
CREAM WALL PLANTER HEART SHAPED,562,3169.41
CROCHET BEAR RED/BLUE  KEYRING,41,67.65
CROCHET BEAR WITH BLUE STRIPES,98,249.9
CROCHET DOG KEYRING,24,39.6
CROCHET LILAC/RED BEAR KEYRING,12,19.8
CROCHET POODLE KEYRING,21,34.65
CROCHET ROSE DES CLOTHES HANGER,25,73.75
CROCHET ROSE PURSE WITH SUEDE BACK,163,480.85
CROCHET WHITE RABBIT KEYRING ,64,100.8
CROSS STITCH ALPHABET CUSHION COVER,216,1285.2
CRYSTAL CHANDELIER T-LIGHT HOLDER,3,18.75
CRYSTAL CZECH CROSS PHONE CHARM,44,34.94
CRYSTAL DIAMANTE EXPANDABLE RING,48,204
CRYSTAL DIAMANTE STAR BROOCH,21,103.95
CRYSTAL DRAGONFLY PHONE CHARM,3,2.55
CRYSTAL FROG PHONE CHARM,189,138.33
CRYSTAL HOOP EARRING FLORAL LEAF,36,106.2
CRYSTAL KEY+LOCK PHONE CHARM,99,84.15
CRYSTAL LARGE JEWELLED PHOTO FRAME,22,56.1
CRYSTAL PAIR HEART HAIR SLIDES,35,131.25
CRYSTAL SEA HORSE PHONE CHARM,276,191.76
CRYSTAL SMALL JEWELLED PHOTOFRAME,1,1.65
CRYSTAL STILETTO PHONE CHARM,297,252.45
CRYSTAL STUD EARRINGS ASSORTED COL ,1081,508.7
CRYSTAL STUD EARRINGS CLEAR DISPLAY,576,218.88
CUBIC MUG BLUE POLKA DOT,1249,1093.95
CUBIC MUG FLOCK BLUE ON BROWN,1240,1011.48
CUBIC MUG FLOCK PINK ON BROWN,125,70.35
CUBIC MUG PINK POLKA DOT,104,265.2
CUBIC MUG PINK POLKADOT,532,356.52
CUBIC MUG TEATIME CAKES,6,15.3
CUPBOARD 3 DRAWER MA CAMPAGNE,177,2531.75
CUPCAKE LACE PAPER SET 6,3631,6722.63
CUPID DESIGN SCENTED CANDLES,660,1015.1
CUPID SCENTED CANDLE IN GLASS,61,100.65
CURIO CABINET LINEN AND LACE ,36,290.1
CURIOUS  IMAGES NOTEBOOK SET,421,634.25
CURIOUS IMAGES GIFT WRAP SET,793,772.1
CURIOUS IMAGES SCRAP BOOK SET,343,543.45
CUSHION COVER PINK UNION FLAG,101,643.35
CUSHION COVER PINK UNION JACK,163,903.89
CUT GLASS HEXAGON T-LIGHT HOLDER,1022,1849
CUT GLASS T-LIGHT HOLDER OCTAGON,1169,2118.21
CUTE BIRD CEATURE SCREEN,28,18.48
CUTE CATS TAPE,1183,450.75
CUTE RABBIT CEATURE SCREEN ,15,10.89
DADDY MOUSE RED GINGHAM BOW TIE,1,5.45
DAIRY MAID  PUDDING BOWL,1296,1860
DAIRY MAID  SMALL  MILK JUG,215,451.5
DAIRY MAID BUTTER DISH,1193,1758.25
DAIRY MAID CERAMIC BUTTER DISH,105,437.25
DAIRY MAID CERAMIC TOASTRACK,56,165.2
DAIRY MAID LARGE MILK JUG,851,4071.75
DAIRY MAID STRIPE MUG,2419,3176.05
DAIRY MAID SUGAR JAM BOWL,1372,1358.4
DAIRY MAID TOASTRACK,860,989.72
DAIRY MAID TRADITIONAL TEAPOT ,831,4937.65
DAISIES  HONEYCOMB GARLAND ,1478,2337.9
DAISY ERASERS IN BAG,1014,219.34
DAISY FOLKART HEART DECORATION,389,486.25
DAISY GARDEN MARKER,1832,2453.7
DAISY HAIR BAND,67,110.55
DAISY HAIR COMB,14,35.7
DAISY JOURNAL ,403,708.47
DAISY NOTEBOOK ,3509,749.85
DAISY RING,11,13.75
DAISY SKETCHBOOK ,245,606.86
DANISH ROSE BEDSIDE CABINET,31,1198.45
DANISH ROSE DECORATIVE PLATE,1051,920.64
DANISH ROSE DELUXE COASTER,1306,722.5
DANISH ROSE FOLDING CHAIR,120,1210
DANISH ROSE PHOTO FRAME,1691,2122.61
DANISH ROSE ROUND SEWING BOX,907,1359.79
DANISH ROSE TRINKET TRAYS,317,828.15
DANISH ROSE UMBRELLA STAND,33,513.55
DARK BIRD HOUSE TREE DECORATION,1431,511.39
DARK CHOCOLATE SCENTCANDLE,291,219.75
DARK PINK FLOCK GLASS CANDLEHOLDER,547,231.99
DECORATION  BUTTERFLY  MAGIC GARDEN,1018,836.18
DECORATION  PINK CHICK MAGIC GARDEN,773,648.73
"DECORATION , HANGING METAL CHICKEN",601,586.25
"DECORATION , HANGING METAL RABBIT",813,851.25
"DECORATION , WOBBLY CHICKEN, METAL ",763,1061.55
"DECORATION , WOBBLY RABBIT , METAL ",1066,1561.5
"DECORATION HEN ON NEST, HANGING",1837,2718.45
DECORATION SITTING BUNNY,1335,257.61
DECORATION WHITE CHICK MAGIC GARDEN,1291,1080.71
DECORATION WOBBLY CHICKEN,521,256.11
DECORATION WOBBLY RABBIT METAL ,753,375.57
"DECORATION, HANGING HEART+MIRROR ",2608,1688
DECORATIVE CATS BATHROOM BOTTLE,1261,1159.01
DECORATIVE FLORE BATHROOM BOTTLE,511,598.91
DECORATIVE HANGING SHELVING UNIT,14,799.3
DECORATIVE NET CANOPY CREAM,68,541.6
DECORATIVE NET CANOPY LEOPARD,73,248.75
DECORATIVE PLANT POT WITH FRIEZE,96,751.2
DECORATIVE ROSE BATHROOM BOTTLE,1264,1118.96
DECORATIVE VINTAGE COFFEE  BOX,44,208.2
DECORATIVE WICKER HEART LARGE,1701,2794.65
DECORATIVE WICKER HEART MEDIUM,1751,2181.19
DECORATIVE WICKER HEART SMALL,1492,932.28
"DECOUPAGE,GREETING CARD,",1332,554.4
DECROTIVEVINTAGE COFFEE GRINDER BOX,10,49.5
DEEP BLUE GLASS GEMS IN BAG,316,208.12
DELUXE SEWING KIT ,2045,11611.27
DENIM PATCH PENCIL CASE BUTTERFLY,247,483.33
DENIM PATCH PURSE PINK BUTTERFLY,332,547.8
DIAMANTE BOW BROOCH BLACK COLOUR,83,527.05
DIAMANTE BOW BROOCH GREEN COLOUR,42,266.7
DIAMANTE BOW BROOCH RED COLOUR,57,361.95
DIAMANTE BOW BROOCH WHITE COLOUR,1,6.35
DIAMANTE HAIR GRIP PACK/2 BLACK DIA,15,24.75
DIAMANTE HAIR GRIP PACK/2 CRYSTAL,18,29.7
DIAMANTE HAIR GRIP PACK/2 LT ROSE,21,34.65
DIAMANTE HAIR GRIP PACK/2 MONTANA,24,39.6
DIAMANTE HAIR GRIP PACK/2 PERIDOT,26,42.9
DIAMANTE HAIR GRIP PACK/2 RUBY,21,34.65
"DIAMANTE HEART SHAPED WALL MIRROR, ",783,5020.41
DIAMANTE NECKLACE,8,60
DIAMANTE NECKLACE BLACK ,3,22.5
DIAMANTE NECKLACE GREEN,3,22.5
DIAMANTE NECKLACE PURPLE,10,75
DIAMANTE RING ASSORTED IN BOX.,1800,2660.88
DIAMOND LAS VEGAS NECKLACE 45CM,9,53.55
DINOSAUR BIRTHDAY CARD,1618,668.76
DINOSAUR HEIGHT CHART STICKER SET,546,1453.5
DINOSAUR KEYRINGS ASSORTED,14192,2940.03
DINOSAUR LUNCH BOX WITH CUTLERY,2320,5493.93
DINOSAUR LUNCHBOX WITH CUTLERY,544,1327.8
DINOSAUR PARTY BAG + STICKER SET,2196,3460.24
DINOSAURS  WRITING SET ,1615,2635.99
DINOSAURS WATER TRANSFER TATTOOS ,1782,1469.9
DISCO BALL CHRISTMAS DECORATION,20550,2292.04
DISCO BALL ROTATOR BATTERY OPERATED,534,2265.5
DISTRESSED CANDLE STICK WHITE,13,77.35
DO NOT TOUCH MY STUFF DOOR HANGER ,2734,1577.34
DOCTOR'S BAG SOFT TOY,525,4681.63
DOG AND BALL WALL ART,252,425.88
"DOG BOWL , CHASING BALL DESIGN",695,2537.13
DOG BOWL CHASING BALL DESIGN,1688,6515.62
DOG BOWL VINTAGE CREAM,444,1878.42
"DOG BOWL, ENAMEL , CREAM COLOUR",8,34
"DOG FOOD CONTAINER , VINTAGE",10,85
DOG LICENCE WALL ART,408,2081.64
DOG TOY WITH PINK CROCHET SKIRT,441,1650.19
DOGGY RUBBER,648,136.08
DOILEY BISCUIT TIN,120,327.6
DOILEY STORAGE TIN,1082,2934.98
DOILY THANK YOU CARD,703,286.62
DOLLCRAFT BOY JEAN-PAUL ,82,373.9
DOLLCRAFT GIRL AMELIE,36,178.2
DOLLCRAFT GIRL AMELIE KIT,66,294.7
DOLLCRAFT GIRL NICOLE,68,336.6
DOLLY CABINET 2 DRAWERS ,33,412.5
DOLLY CABINET 3 DRAWERS ,51,762.45
DOLLY GIRL BABY GIFT SET,419,6534.05
DOLLY GIRL CHILDRENS BOWL,1553,1854.85
DOLLY GIRL CHILDRENS CUP,1548,1880.14
DOLLY GIRL CHILDRENS EGG CUP,953,1192.46
DOLLY GIRL LUNCH BOX,17404,30921.64
DOLLY GIRL MINI BACKPACK,713,2838.95
DOLLY GIRL MINI RUCKSACK,8,33.2
DOLLY GIRL WALL ART,318,1055.94
DOLLY HONEYCOMB GARLAND,814,975.9
DOLLY MIXTURE CHILDREN'S UMBRELLA,561,1817.63
DOLPHIN WINDMILL,62,131.44
DONKEY TAIL GAME ,54,189.54
DOOR HANGER  MUM + DADS ROOM,1008,1192.8
DOOR MAT 3 SMILEY CATS,1773,9861.69
DOOR MAT AIRMAIL ,427,2988.53
DOOR MAT BIRD ON THE WIRE,562,3337.8
DOOR MAT BLACK FLOCK ,1220,6922.9
DOOR MAT BLUE FLOCK,1,6.75
DOOR MAT CAMOUFLAGE,38,152
DOOR MAT ENGLISH ROSE ,1445,9343.43
DOOR MAT FAIRY CAKE,1642,10347.72
DOOR MAT FANCY FONT HOME SWEET HOME,1117,7415.39
DOOR MAT FRIENDSHIP ,431,2934.31
DOOR MAT GREEN PAISLEY ,253,1409.11
DOOR MAT HEARTS,1654,9715.06
DOOR MAT KISS MY.......,13,95.15
DOOR MAT MULTICOLOUR STRIPE,1037,6270.69
DOOR MAT NEIGHBOURHOOD WITCH ,79,565.89
DOOR MAT NEW ENGLAND,1953,12520.95
DOOR MAT RED SPOT,2426,15093.48
DOOR MAT RESPECTABLE HOUSE,358,2479.86
DOOR MAT SPOTTY HOME SWEET HOME,1733,10121.69
DOOR MAT SWEET HOME,28,131.25
DOOR MAT TOPIARY,1020,6407.06
DOOR MAT UNION FLAG,3733,24216.23
DOOR MAT UNION JACK GUNS AND ROSES,725,4547.29
DOOR MAT WELCOME PUPPIES,1414,7835.1
DOORKNOB CERAMIC IVORY,36,52.2
DOORKNOB CRACKED GLAZE BLUE,162,238.5
DOORKNOB CRACKED GLAZE GREEN,12,19.8
DOORKNOB CRACKED GLAZE IVORY,174,258.3
DOORKNOB CRACKED GLAZE PINK,12,19.8
DOORMAT 3 SMILEY CATS,2290,13552.78
DOORMAT AIRMAIL ,1943,11946.53
DOORMAT BIRD ON THE WIRE,223,1100.15
DOORMAT BLACK FLOCK ,2813,15618.36
DOORMAT CHRISTMAS VILLAGE,837,4966.93
DOORMAT ENGLISH ROSE ,3158,20298.8
DOORMAT FAIRY CAKE,4760,29116.96
DOORMAT FANCY FONT HOME SWEET HOME,4825,29691.95
DOORMAT FRIENDSHIP ,795,4099.43
DOORMAT HEARTS,5788,35069.4
DOORMAT HOME SWEET HOME BLUE ,2499,15329.57
DOORMAT I LOVE LONDON,831,5136.67
DOORMAT KEEP CALM AND COME IN,5338,35880.85
DOORMAT KISS MY.......,22,106.58
DOORMAT MERRY CHRISTMAS RED ,1004,7171.64
DOORMAT MULTICOLOUR STRIPE,2273,12541.22
DOORMAT NEIGHBOURHOOD WITCH ,1043,5709.31
DOORMAT NEW ENGLAND,5146,31461.34
DOORMAT PEACE ON EARTH BLUE,856,4621.36
DOORMAT RED RETROSPOT,4806,31864.2
DOORMAT RED SPOT,1035,7050.21
DOORMAT RESPECTABLE HOUSE,1863,11282.69
DOORMAT SPOTTY HOME SWEET HOME,2671,19215.5
DOORMAT TOPIARY,2048,12345.7
DOORMAT UNION FLAG,6146,40053.72
DOORMAT UNION JACK GUNS AND ROSES,2078,11722.24
DOORMAT VINTAGE LEAF,541,3766.57
DOORMAT VINTAGE LEAVES DESIGN ,426,2833.7
DOORMAT WELCOME PUPPIES,3345,19178.67
DOORMAT WELCOME SUNRISE,718,4602.26
DOORMAT WELCOME TO OUR HOME,1935,13103.81
DOORSTOP FOOTBALL DESIGN,556,1675.96
DOORSTOP RACING CAR DESIGN,375,888.23
DOORSTOP RETROSPOT HEART,2695,10283.5
DOORSTOP RUSSIAN DOLL GINGHAM,38,142.5
DOORSTOP RUSSIAN DOLL RETROSPOT,100,363.48
DOT MATRIX CANVAS ART PICTURE,35,147.05
DOTCOM POSTAGE,16,11906.36
DOTCOMGIFTSHOP TEA TOWEL,12,19.8
DOTS IRONING BOARD COVER,12,23.4
DOTTY PLACEMATS ,52,175.8
DOUBLE CERAMIC PARLOUR HOOK,22,91.3
DOUGHNUT LIP GLOSS ,9642,11615.7
DOVE DECORATION PAINTED ZINC ,4442,2014.76
DRAGONS BLOOD INCENSE,874,173.54
DRAWER KNOB ACRYLIC EDWARDIAN CLEAR,24,30
DRAWER KNOB ACRYLIC EDWARDIAN GREEN,24,30
DRAWER KNOB ACRYLIC EDWARDIAN PINK,24,30
DRAWER KNOB CERAMIC BLACK,935,1314.95
DRAWER KNOB CERAMIC IVORY,2035,2863.39
DRAWER KNOB CERAMIC RED,679,943.75
DRAWER KNOB CRACKLE GLAZE BLUE,1079,1751.79
DRAWER KNOB CRACKLE GLAZE GREEN,1272,2060.4
DRAWER KNOB CRACKLE GLAZE IVORY,2076,3348.6
DRAWER KNOB CRACKLE GLAZE PINK,1216,1968
DRAWER KNOB VINTAGE GLASS BALL,317,669.61
DRAWER KNOB VINTAGE GLASS HEXAGON,287,596.96
DRAWER KNOB VINTAGE GLASS STAR,503,1016.97
DRAWERKNOB ACRYLIC EDWARDIAN PURPLE,24,30
DROP DIAMANTE EARRINGS BLACK DIAMON,15,44.25
DROP DIAMANTE EARRINGS CRYSTAL,16,47.2
DROP DIAMANTE EARRINGS GREEN,8,23.6
DROP DIAMANTE EARRINGS PURPLE,31,91.45
DROP EARRINGS W FLOWER & LEAF,3,7.65
DUCK SOCK PUPPET,4,11.8
DUSTY PINK CHRISTMAS TREE 30CM,10,12.5
DUSTY PINK CHRISTMAS TREE 60CM,10,29.5
Discount,196,397.89
EASTER BUNNIES ON A STICK,1536,783.96
EASTER BUNNY GARLAND OF FLOWERS,1302,546.84
EASTER BUNNY HANGING GARLAND,154,192.5
EASTER BUNNY WITH BASKET ON BACK,204,132.6
EASTER BUNNY WREATH,76,362.2
EASTER CRAFT 4 CHICKS ,2994,5430.3
EASTER CRAFT IVY WREATH WITH CHICK,1343,2342.85
EASTER DECORATION EGG BUNNY ,1457,1255.43
EASTER DECORATION HANGING BUNNY,2476,958.3
EASTER DECORATION NATURAL CHICK,1781,1129.65
EASTER DECORATION SITTING BUNNY,1010,817.94
EASTER TIN BUCKET,1405,3355.95
EASTER TIN BUNNY BOUQUET,1188,1895.4
EASTER TIN CHICKS IN GARDEN,292,481.8
EASTER TIN CHICKS PINK DAISY,580,957
EASTER TIN KEEPSAKE,1086,1727.1
EASTER TREE YELLOW BIRDS,423,2192.25
EAU DE NIL DINER WALL CLOCK,244,2033.2
EAU DE NIL LOVE BIRD CANDLE,397,429.97
EAU DE NILE HEART SHAPE PHOTO FRAME,525,837.45
EAU DE NILE JEWELLED PHOTOFRAME,510,1010.7
EAU DE NILE JEWELLED T-LIGHT HOLDER,161,136.85
ECONOMY HOLIDAY PURSE,871,340.65
ECONOMY LUGGAGE TAG,287,380.81
ECONOMY PASSPORT COVER ,199,417.9
EDWARDIAN 2 DRAWER WALL CABINET ,52,755.8
EDWARDIAN DROP EARRINGS JET BLACK,8,30
EDWARDIAN HEART PHOTO FRAME,147,610.05
EDWARDIAN PARASOL BLACK,9351,45885.07
EDWARDIAN PARASOL NATURAL,10948,54332.61
EDWARDIAN PARASOL PINK,2436,11872.81
EDWARDIAN PARASOL RED,6029,28557.92
EDWARDIAN PHOTO FRAME,87,543.75
EDWARDIAN TOILET ROLL UNIT ,161,838.35
EGG CUP HENRIETTA HEN CREAM ,580,664.52
EGG CUP HENRIETTA HEN PINK,187,233.75
EGG CUP MILKMAID HEIDI,784,919.52
EGG CUP MILKMAID HELGA ,348,435
EGG CUP MILKMAID INGRID,587,703.51
EGG CUP NATURAL CHICKEN,1400,1194.64
EGG FRYING PAN BLUE ,150,312
EGG FRYING PAN IVORY ,358,722.56
EGG FRYING PAN MINT ,169,351.52
EGG FRYING PAN PINK ,199,415.97
EGG FRYING PAN RED ,405,820.32
EIGHT PIECE CREEPY CRAWLIE SET,810,1007.94
EIGHT PIECE DINOSAUR SET,1691,2072.71
EIGHT PIECE SNAKE  SET,1060,1283.96
ELEPHANT BIRTHDAY CARD ,1080,449.88
ELEPHANT CARNIVAL POUFFE,130,1837.9
ELEPHANT CLIP W SUCTION CUP,34,14.28
ELEPHANT TOY WITH BLUE T-SHIRT,160,595.68
"ELEPHANT, BIRTHDAY CARD, ",6890,2782.92
ELVIS WALLHANGING / CURTAIN,297,371.25
EMBOSSED FLOWER TRELLIS PHOTO FRAME,5,12.75
EMBOSSED GLASS TEALIGHT HOLDER,4259,5162.34
EMBOSSED HEART 3 DRAWER SHELF,159,2012.85
EMBOSSED HEART TRINKET BOX,221,444.02
EMBROIDERED REINDEER DECORATION,18,28
EMBROIDERED RIBBON REEL CLAIRE,219,755.01
EMBROIDERED RIBBON REEL DAISY ,558,1075.38
EMBROIDERED RIBBON REEL EMILY ,524,1046.42
EMBROIDERED RIBBON REEL RACHEL ,357,954.93
EMBROIDERED RIBBON REEL REBECCA ,312,860.88
EMBROIDERED RIBBON REEL ROSIE,484,921.46
EMBROIDERED RIBBON REEL RUBY ,165,585.63
EMBROIDERED RIBBON REEL SALLY ,458,909.14
EMBROIDERED RIBBON REEL SOPHIE  ,291,1025.01
EMBROIDERED RIBBON REEL SUSIE ,556,1072.96
EMERGENCY FIRST AID TIN ,2502,3099.4
EMPIRE BIRTHDAY CARD,4812,1939.47
EMPIRE DESIGN ROSETTE,4518,3948.92
EMPIRE GIFT WRAP,8225,3340.5
EMPIRE TEDDY,1,6.95
EMPIRE TISSUE BOX,3039,2152.81
EMPIRE UNION JACK TV DINNER TRAY,1221,4079.47
ENAMEL BLUE RIM BISCUIT BIN,271,1281.25
ENAMEL BLUE RIM COFFEE CONTAINER,307,446.03
ENAMEL BLUE RIM OVAL TRAY SET/2,48,407.52
ENAMEL BLUE RIM TEA CONTAINER,81,162.48
ENAMEL BOWL PANTRY,24,30
ENAMEL BREAD BIN CREAM,1300,15621.65
ENAMEL CAT BOWL CREAM,52,157.8
ENAMEL COLANDER CREAM,692,3352.01
ENAMEL COLLANDER CREAM,115,527.25
ENAMEL DINNER PLATE PANTRY,12,19.8
ENAMEL DOG BOWL CREAM,76,300.48
ENAMEL FIRE BUCKET CREAM,421,2910.93
ENAMEL FLOWER JUG CREAM,3039,17471.23
ENAMEL JUG PANTRY,8,30
ENAMEL MEASURING JUG CREAM,2149,8867.29
ENAMEL MUG PANTRY,12,15
ENAMEL PINK COFFEE CONTAINER,1117,1282.36
ENAMEL PINK SUGAR CONTAINER,391,581.58
ENAMEL PINK TEA CONTAINER,1037,1297.81
ENAMEL WASH BOWL CREAM,1182,4073.3
ENAMEL WATERING CAN CREAM,1288,5916.44
ENCHANTED BIRD COATHANGER 5 HOOK,2201,9326.33
ENCHANTED BIRD PLANT CAGE,432,1464
ENCHANTED GARDEN WROUGHT IRON TABLE,5,74.75
ENGLISH ROSE DESIGN PEG BAG,2262,4478.78
ENGLISH ROSE DESIGN QUILTED THROW,306,4391.1
ENGLISH ROSE DESIGN SHOPPING BAG,1,2.55
ENGLISH ROSE EDWARDIAN PARASOL,505,1515
ENGLISH ROSE GARDEN SECATEURS,2580,2769.64
ENGLISH ROSE HOT WATER BOTTLE,2018,8191.91
ENGLISH ROSE IRONING BOARD COVER,104,390
ENGLISH ROSE METAL WASTE BIN,136,401.2
ENGLISH ROSE MUG IN GIFT BOX,143,232.89
ENGLISH ROSE NOTEBOOK A6 SIZE,575,300.15
ENGLISH ROSE NOTEBOOK A7 SIZE,4478,1881.58
ENGLISH ROSE PHOTO FRAME ,14,65.1
ENGLISH ROSE PLACEMATS,107,382.05
ENGLISH ROSE SCENTED HANGING FLOWER,440,442
ENGLISH ROSE SCENTED HANGING HEART,49,208.25
ENGLISH ROSE SCISSORS,4372,871.4
ENGLISH ROSE SET/3 GARDEN TOOLS,3,23.85
ENGLISH ROSE SMALL SCENTED FLOWER,280,238
ENGLISH ROSE SPIRIT LEVEL ,989,940.83
ENGLISH ROSE TABLE CLOCK,136,307.2
ENGLISH ROSE TABLE CLOTH,207,2096.55
ENGLISH ROSE TAPE MEASURE,256,315.44
ENGLISH ROSE TEA FOR ONE GIFT BOX,1,6.75
ENGLISH ROSE TEA SET IN GIFT BOX,49,207.69
ENGLISH ROSE TORCH,526,193.1
ENVELOPE 50 BLOSSOM IMAGES,1859,1080.99
ENVELOPE 50 CURIOUS IMAGES,931,590.11
ENVELOPE 50 ROMANTIC IMAGES,924,599.64
ESSENTIAL BALM 3.5g TIN IN ENVELOPE,11335,1017.18
ETCHED GLASS BIRD TREE DECORATION,806,1007.5
ETCHED GLASS COASTER,2130,1465.38
ETCHED GLASS DROPLET DECORATION,1905,851.23
ETCHED GLASS STAR TREE DECORATION,885,1106.25
EUCALYPTUS & PINECONE  WREATH,742,2232.7
F FAIRY POTPOURRI CUSHIONS LAVENDER,170,137.54
F FAIRY POTPOURRI CUSHIONS SUMMER,1,1.69
F.FAIRY S/3 CANDLE/GLASS,110,226.5
"F.FAIRY S/3 CANDLE/GLASS, ROSE",232,476.4
"F.FAIRY S/3 CANDLE/GLASS,LAVENDER",193,380.35
"F.FAIRY S/3 CANDLE/GLASS,LILY/VALLY",177,349.15
"F.FAIRY S/3 SML CANDLE, LAVENDER",1,5.95
"F.FAIRY S/3 SML CANDLE, ROSE",1,5.95
"F.FAIRY S/3 SML CANDLE,LILY/VALLEY",1,5.95
"F.FAIRY,CANDLE IN GLASS,LAVENDER",3,12.75
"F.FAIRY,CANDLE IN GLASS,LILY/VALLEY",1,4.25
FAIRY CAKE BIRTHDAY CANDLE SET,1500,5337
FAIRY CAKE CANDLES,3841,5230.61
FAIRY CAKE CERAMIC BUTTER DISH,192,523.2
FAIRY CAKE DESIGN UMBRELLA,1137,4138.17
FAIRY CAKE FLANNEL ASSORTED COLOUR,12532,23322.62
FAIRY CAKE GREETINGS CARD,809,335.46
FAIRY CAKE NOTEBOOK A5 SIZE,721,612.85
FAIRY CAKE PLACEMATS,100,355.8
FAIRY CAKE PLACEMATS ,75,262.05
FAIRY CAKE WICKER PICNIC BASKET ,33,420.75
FAIRY CAKES  WALL THERMOMETER,28,71.4
FAIRY CAKES GIFT BAG,117,49.14
FAIRY CAKES NOTEBOOK A6 SIZE,2582,1570.97
FAIRY CAKES NOTEBOOK A7 SIZE,2861,1149.68
FAIRY CAKES PHOTO FRAME,83,103.75
FAIRY CAKES RECTANGLUAR BOXES,38,226.1
FAIRY CAKES ROUND NESTING BOXES,52,293.8
FAIRY CAKES TABLE CLOCK,19,170.05
FAIRY CAKES TILE COASTER,125,156.25
FAIRY DESIGN MUGS,1,1.25
FAIRY DREAMS INCENSE ,2391,485.86
FAIRY SOAP SOAP HOLDER,1819,2932.99
FAIRY TALE COTTAGE NIGHT LIGHT,912,1717.2
FAIRY TALE COTTAGE NIGHTLIGHT,4208,7389.6
FAMILY ALBUM WHITE PICTURE FRAME,2094,16676.94
FAMILY PHOTO FRAME CORNICE,1114,10310.19
FAN BLACK FRAME ,254,73.66
"FANCY FONT BIRTHDAY CARD, ",10430,4186.92
FANCY FONT HOME SWEET HOME DOORMAT,622,3822.5
FANCY FONTS BIRTHDAY WRAP,17450,6957
FANNY'S REST STOPMETAL SIGN,2312,4695.3
FAUX FUR CHOCOLATE THROW,86,1454.7
FAWN AND MUSHROOM GREETING CARD,1088,456.96
FAWN BLUE HOT WATER BOTTLE,7526,21779.5
"FEATHER DUSTER, COAL BLACK",170,212.5
"FEATHER DUSTER, LIGHT PINK",10,12.5
FEATHER HEART LIGHTS,1,2.95
"FEATHER PEN,COAL BLACK",3843,2321.47
"FEATHER PEN,HOT PINK",6048,3787.76
"FEATHER PEN,LIGHT PINK",3238,2014.56
FELT EGG COSY BLUE RABBIT ,1187,973.07
FELT EGG COSY CHICKEN,1734,1477.02
FELT EGG COSY LADYBIRD ,722,484.34
FELT EGG COSY WHITE RABBIT ,1753,1412.57
FELT FARM ANIMAL CHICKEN,846,1025.58
FELT FARM ANIMAL HEN,478,358.46
FELT FARM ANIMAL RABBIT,1113,1000.77
FELT FARM ANIMAL SHEEP,322,243.14
FELT FARM ANIMAL WHITE BUNNY ,1803,865.71
FELT TOADSTOOL  SMALL,998,848.3
FELT TOADSTOOL LARGE,1294,1581.02
FELTCRAFT 6 FLOWER FRIENDS,12174,24248.29
FELTCRAFT BOY JEAN-PAUL KIT,349,1711.23
FELTCRAFT BUTTERFLY HEARTS,12605,17238.05
FELTCRAFT CHRISTMAS FAIRY,3286,13462.18
FELTCRAFT CUSHION BUTTERFLY,5357,18865.21
FELTCRAFT CUSHION OWL,5312,19128.13
FELTCRAFT CUSHION RABBIT,5420,19282.55
FELTCRAFT DOLL EMILY,3675,10227.31
FELTCRAFT DOLL MARIA,1343,3684.91
FELTCRAFT DOLL MOLLY,7203,19332.93
FELTCRAFT DOLL ROSIE,4744,13244.46
FELTCRAFT GIRL AMELIE KIT,982,4799.38
FELTCRAFT GIRL NICOLE KIT,645,3169.79
FELTCRAFT HAIRBAND PINK AND BLUE,1975,1660.03
FELTCRAFT HAIRBAND PINK AND PURPLE,2654,2170.1
FELTCRAFT HAIRBAND RED AND BLUE,1791,1503.63
"FELTCRAFT HAIRBAND S/2, PINK/PURPLE",96,81.6
"FELTCRAFT HAIRBAND, S/2, RED/BLUE",204,154.68
FELTCRAFT HAIRBANDS PINK + WHITE ,72,61.2
FELTCRAFT HAIRBANDS PINK AND WHITE ,1825,1549.69
FELTCRAFT PRINCESS CHARLOTTE DOLL,3407,12407.83
FELTCRAFT PRINCESS LOLA DOLL,3039,11094.51
FELTCRAFT PRINCESS OLIVIA DOLL,2195,7965.29
FENG SHUI PILLAR CANDLE,6268,1190.92
FILIGREE DIAMANTE CHAIN,4,51
FILIGREE DIAMANTE EARRINGS,21,89.25
FILIGREE HEART BIRD WHITE ,1397,1726.3
FILIGREE HEART BUTTERFLY WHITE ,1592,1947.06
FILIGREE HEART DAISY WHITE,1199,1478.59
FILIGREE WALL MIRROR  ANTIQUE WHITE,92,848.8
FILIGRIS HEART WITH BUTTERFLY,10622,12849.14
FINE SILVER NECKLACE W PASTEL FLOWE,35,228.75
FINE WICKER HEART ,4612,5541.56
FIRE POLISHED GLASS BRACELET BLACK,14,52.5
